epoch,accuracy,loss,val_accuracy,val_loss
0,0.24344569444656372,1.3863469362258911,0.1666666716337204,1.381942629814148
1,0.2509363293647766,1.364668369293213,0.1666666716337204,1.3515887260437012
2,0.4082396924495697,1.2579869031906128,0.5,1.0701228380203247
3,0.4756554365158081,1.1802209615707397,0.6000000238418579,1.058885097503662
4,0.5318351984024048,1.075364112854004,0.6333333253860474,0.9398871064186096
5,0.6029962301254272,0.9348065853118896,0.6666666865348816,0.8501012325286865
6,0.63670414686203,0.8034487962722778,0.699999988079071,0.8772182464599609
7,0.7191011309623718,0.6931014657020569,0.6333333253860474,0.9427642226219177
8,0.737827718257904,0.6774290800094604,0.6666666865348816,0.7645033001899719
9,0.7602996230125427,0.6171007752418518,0.6666666865348816,0.7099999189376831
10,0.7490636706352234,0.6151078343391418,0.6000000238418579,1.175769329071045
11,0.7265917658805847,0.6412487626075745,0.6666666865348816,0.8041204214096069
12,0.7827715277671814,0.5774444341659546,0.7333333492279053,0.6355183720588684
13,0.7752808928489685,0.5654106736183167,0.6333333253860474,0.7416170239448547
14,0.7977527976036072,0.5574499368667603,0.7333333492279053,0.628515899181366
15,0.8052434325218201,0.5209222435951233,0.7333333492279053,0.6415079832077026
16,0.8239700198173523,0.4818403124809265,0.6666666865348816,0.7299891114234924
17,0.8239700198173523,0.4407830834388733,0.7666666507720947,0.5447531342506409
18,0.8352059721946716,0.4597839117050171,0.6333333253860474,1.0246001482009888
19,0.8277153372764587,0.4335777461528778,0.699999988079071,0.5737737417221069
20,0.8539325594902039,0.38614124059677124,0.699999988079071,0.7264553308486938
21,0.8314606547355652,0.4035383462905884,0.7666666507720947,0.7088144421577454
22,0.8539325594902039,0.37774458527565,0.7666666507720947,0.6143818497657776
23,0.8576778769493103,0.40393882989883423,0.7666666507720947,0.6376276612281799
24,0.8614231944084167,0.36380040645599365,0.7666666507720947,0.5279480218887329
25,0.8726591467857361,0.31637537479400635,0.7666666507720947,0.5204204320907593
26,0.8764045238494873,0.41225698590278625,0.5333333611488342,1.521276593208313
27,0.8352059721946716,0.485484778881073,0.800000011920929,0.5331182479858398
28,0.8801498413085938,0.32641497254371643,0.800000011920929,0.4644416272640228
29,0.8876404762268066,0.3365389108657837,0.7666666507720947,0.4391786754131317
30,0.8764045238494873,0.30044353008270264,0.800000011920929,0.4254324734210968
31,0.8426966071128845,0.4007259011268616,0.7666666507720947,0.8815277218818665
32,0.8726591467857361,0.32979896664619446,0.8333333134651184,0.5143003463745117
33,0.8801498413085938,0.2995315194129944,0.7666666507720947,0.41214725375175476
34,0.9138576984405518,0.2707858085632324,0.7666666507720947,0.46132904291152954
35,0.9063670635223389,0.24932846426963806,0.7666666507720947,0.731160581111908
36,0.8651685118675232,0.3264434337615967,0.8333333134651184,0.4367380142211914
37,0.8726591467857361,0.32074496150016785,0.800000011920929,0.44780686497688293
38,0.898876428604126,0.22567428648471832,0.7666666507720947,0.4071219861507416
39,0.9176030158996582,0.2417764514684677,0.699999988079071,0.9276483058929443
40,0.8689138293266296,0.3681246340274811,0.7666666507720947,0.3795146942138672
41,0.8576778769493103,0.37583673000335693,0.7333333492279053,0.556096613407135
42,0.8876404762268066,0.2990129292011261,0.7666666507720947,0.4176103472709656
43,0.9101123809814453,0.23029494285583496,0.800000011920929,0.4116553068161011
44,0.9026217460632324,0.24089913070201874,0.8666666746139526,0.38075971603393555
